pred1,pred2,p_val,code,type,q_val,gene
FATHMM (-0.019),LRT (0.012),0.302,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),LRT (0.012),0.43,30740,PCC,0.572808408753648,gigyf1
LRT (0.012),LRT (0.012),1,30740,PCC,0.68255207585131,gigyf1
M-CAP (0.051),LRT (0.012),0.177,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),LRT (0.012),0.393,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),LRT (0.012),0.279,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),LRT (0.012),0.358,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),LRT (0.012),0.33,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),LRT (0.012),0.091,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),LRT (0.012),0.342,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),LRT (0.012),0.132,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),LRT (0.012),0.256,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),LRT (0.012),0.068,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),LRT (0.012),0.311,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),LRT (0.012),0.366,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),LRT (0.012),0.409,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),LRT (0.012),0.131,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),M-CAP (0.051),0.684,30740,PCC,0.579357542770171,gigyf1
DANN (0.023),M-CAP (0.051),0.78,30740,PCC,0.606712956312275,gigyf1
Eigen (0.016),M-CAP (0.051),0.758,30740,PCC,0.601226722132856,gigyf1
FATHMM (-0.019),M-CAP (0.051),0.64,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),M-CAP (0.051),0.806,30740,PCC,0.619872645787218,gigyf1
LRT (0.012),M-CAP (0.051),0.823,30740,PCC,0.629989187019396,gigyf1
M-CAP (0.051),M-CAP (0.051),1,30740,PCC,0.68255207585131,gigyf1
MPC (-0.009),M-CAP (0.051),0.74,30740,PCC,0.597433816980441,gigyf1
MVP (0.030),M-CAP (0.051),0.772,30740,PCC,0.604546124325446,gigyf1
MetaLR (0.007),M-CAP (0.051),0.752,30740,PCC,0.600326504140567,gigyf1
MetaSVM (0.017),M-CAP (0.051),0.759,30740,PCC,0.601226722132856,gigyf1
MutPred (0.077),M-CAP (0.051),0.252,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),M-CAP (0.051),0.725,30740,PCC,0.592635035918802,gigyf1
PROVEAN (0.055),M-CAP (0.051),0.509,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),M-CAP (0.051),0.707,30740,PCC,0.587299372365366,gigyf1
PrimateAI (0.071),M-CAP (0.051),0.356,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),M-CAP (0.051),0.744,30740,PCC,0.597433816980441,gigyf1
SIFT (0.024),M-CAP (0.051),0.775,30740,PCC,0.604546124325446,gigyf1
SiPhy (-0.004),M-CAP (0.051),0.761,30740,PCC,0.601277088784622,gigyf1
VARITY (0.058),M-CAP (0.051),0.444,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),MPC (-0.009),0.382,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),MPC (-0.009),0.483,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),MPC (-0.009),0.441,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),MPC (-0.009),0.365,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),MPC (-0.009),0.551,30740,PCC,0.572808408753648,gigyf1
LRT (0.012),MPC (-0.009),0.607,30740,PCC,0.572808408753648,gigyf1
M-CAP (0.051),MPC (-0.009),0.26,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),MPC (-0.009),1,30740,PCC,0.68255207585131,gigyf1
MVP (0.030),MPC (-0.009),0.382,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),MPC (-0.009),0.445,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),MPC (-0.009),0.428,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),MPC (-0.009),0.149,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),MPC (-0.009),0.455,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),MPC (-0.009),0.204,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),MPC (-0.009),0.373,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),MPC (-0.009),0.144,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),MPC (-0.009),0.408,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),MPC (-0.009),0.474,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),MPC (-0.009),0.516,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),MPC (-0.009),0.229,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),MVP (0.030),0.509,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),MVP (0.030),0.657,30740,PCC,0.573954333431517,gigyf1
Eigen (0.016),MVP (0.030),0.612,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),MVP (0.030),0.508,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),MVP (0.030),0.694,30740,PCC,0.583004480788688,gigyf1
LRT (0.012),MVP (0.030),0.721,30740,PCC,0.590544056026553,gigyf1
M-CAP (0.051),MVP (0.030),0.228,30740,PCC,0.572808408753648,gigyf1
